step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
15400,14621,4611,3,1,102,1,642,2,2370,2,5614,0,20,510,2390,15,30,42522,0,2,0,3,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15600,14683,4673,3,0,101,0,639,0,2334,2,5642,0,20,497,2376,19,38,42560,0,3,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15800,14741,4731,3,0,102,0,649,2,2335,2,5619,0,20,482,2325,15,30,42590,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16000,14798,4788,3,0,101,2,642,1,2346,4,5652,0,20,464,2338,14,28,42618,0,0,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16200,14861,4851,3,0,103,1,646,3,2326,5,5646,0,20,499,2350,15,30,42648,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16400,14919,4909,3,0,103,2,629,1,2343,3,5621,0,20,468,2383,15,30,42678,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16600,14988,4978,3,0,101,1,647,1,2366,0,5649,0,20,469,2361,14,28,42706,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16800,15043,5033,3,0,102,1,628,3,2331,1,5631,0.02,20,481,2330,11,22,42728,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17000,15103,5093,3,0,104,0,658,0,2341,3,5625,0.0156,20,465,2398,10,20,42748,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17200,15153,5143,3,0,103,1,640,0,2336,1,5639,0.0721,20,479,2343,7,14,42762,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17400,15210,5200,3,0,101,0,650,1,2381,1,5614,0.0561,20,489,2365,4,8,42770,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17600,15275,5265,3,0,100,0,648,0,2328,1,5646,0.0433,20,475,2361,3,6,42776,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17800,15334,5324,3,0,104,1,642,3,2381,1,5652,0.0331,20,448,2328,1,2,42778,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
18000,15382,5372,3,0,102,0,638,0,2312,0,5647,0.025,20,473,2340,1,2,42780,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
18200,15444,5434,3,0,102,0,633,3,2366,0,5600,0.0186,20,483,2372,1,2,42782,0,0,0,0,0,3,2,0,-1,0,0,-1,0,0,-1,0,0
18400,15511,5501,3,0,103,1,646,4,2357,0,5616,0.0134,20,491,2374,2,4,42786,0,0,0,1,0,3,1,0,-1,0,0,-1,0,0,-1,0,0
18600,15562,5552,3,0,100,0,649,0,2385,0,5626,0.0093,20,489,2330,4,8,42794,0,1,0,1,0,3,2,0,-1,0,0,-1,0,0,-1,0,0
18800,15623,5613,3,0,103,0,642,4,2348,2,5623,0.0661,20,514,2352,2,4,42798,0,0,0,0,0,3,2,0,-1,0,0,-1,0,0,-1,0,0
19000,15692,5682,3,0,99,1,649,2,2384,2,5643,0.0503,20,472,2391,7,14,42812,0,3,0,2,0,3,2,0,-1,0,0,-1,0,0,-1,0,0
19200,15762,5752,3,0,99,2,635,1,2360,2,5610,0.0503,20,477,2353,7,14,42826,0,2,0,0,0,3,2,0,-1,0,0,-1,0,0,-1,0,0
19400,15821,5811,3,0,103,2,632,0,2379,2,5677,0.0378,20,508,2391,6,12,42838,0,0,0,2,0,3,2,0,-1,0,0,-1,0,0,-1,0,0
19600,15878,5868,3,0,103,1,623,1,2413,4,5638,0.0278,20,494,2356,8,16,42854,0,1,0,1,0,3,3,0,-1,0,0,-1,0,0,-1,0,0
19800,15956,5946,3,0,101,1,660,4,2361,2,5613,0.0198,20,451,2349,8,16,42870,0,2,0,0,0,3,5,0,-1,0,0,-1,0,0,-1,0,0
20000,16013,6003,3,0,100,0,648,3,2364,2,5667,0.0135,20,510,2365,8,16,42886,0,1,0,0,0,3,0,0,-1,0,0,-1,0,0,-1,0,0
20200,16078,6068,3,0,100,1,659,2,2366,2,5648,0.0085,20,473,2313,8,16,42902,0,0,0,1,0,3,2,0,-1,0,0,-1,0,0,-1,0,0
20400,16146,6136,3,0,104,2,640,2,2332,0,5659,0.0045,20,510,2366,8,16,42918,0,1,0,0,0,3,3,0,-1,0,0,-1,0,0,-1,0,0
20600,16202,6192,3,0,98,1,635,1,2398,0,5633,0.0014,20,520,2321,7,14,42932,0,0,0,0,0,3,3,0,-1,0,0,-1,0,0,-1,0,0
20800,16256,6246,3,0,103,1,646,2,2390,3,5639,0,20,469,2360,6,12,42944,0,1,0,0,0,5,5,1,-1,0,0,-1,0,0,-1,0,0
21000,16322,6312,3,0,105,0,629,5,2412,3,5619,0,20,479,2376,5,10,42954,0,0,0,1,0,7,3,1,-1,0,0,-1,0,0,-1,0,0
21200,16392,6382,3,0,103,0,651,3,2391,3,5624,0,20,469,2356,3,6,42960,0,0,0,0,0,9,4,1,3,2,0,-1,0,0,-1,0,0
21400,16445,6435,3,0,103,0,630,2,2378,3,5646,0,20,466,2368,3,6,42966,0,0,0,1,0,11,5,1,3,2,0,-1,0,0,-1,0,0
21600,16506,6496,3,0,102,1,641,2,2373,0,5690,0,20,460,2383,2,4,42970,0,0,0,0,0,13,11,1,3,0,0,-1,0,0,-1,0,0
21800,16573,6563,3,0,102,0,646,3,2352,6,5634,0,20,505,2358,2,4,42974,0,0,0,0,0,15,13,1,3,1,0,-1,0,0,-1,0,0
22000,16624,6614,3,0,100,0,653,3,2402,4,5624,0,20,445,2346,2,4,42978,0,1,0,0,0,17,13,1,3,0,0,-1,0,0,-1,0,0
22200,16699,6689,3,0,101,0,642,2,2345,1,5634,0,20,478,2347,3,6,42984,0,1,0,0,0,19,12,1,3,2,0,-1,0,0,-1,0,0
