step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
16400,16409,4936,143,1,103,16,657,20,2501,20,6373,0.1782,20,522,2553,6,12,48254,1,0,0,0,1
16600,16609,4994,145,5,104,17,666,20,2626,20,6503,0.1748,20,485,2577,8,16,48848,1,1,0,1,1
16800,16809,5048,149,3,103,15,673,19,2619,20,6546,0.1521,20,556,2643,12,24,49467,1,0,1,3,1
17000,17009,5098,153,4,102,14,663,20,2578,20,6641,0.16,20,536,2602,11,22,50082,1,0,0,0,1
17200,17209,5150,156,1,102,12,679,20,2636,20,6742,0.1602,20,565,2600,13,26,50686,1,2,0,1,1
17400,17409,5210,158,4,102,12,677,20,2609,20,6788,0.1804,20,555,2585,12,24,51302,1,0,0,1,1
17600,17609,5277,162,4,107,17,669,20,2614,20,6845,0.1916,20,577,2645,13,26,51912,1,1,0,1,1
17800,17809,5329,165,4,103,13,676,20,2623,20,6887,0.1755,20,516,2632,10,20,52518,1,1,0,0,1
18000,18009,5383,168,4,100,11,670,20,2687,20,7037,0.1727,20,554,2670,9,18,53117,1,0,0,0,1
18200,18209,5442,170,1,102,13,689,20,2624,20,7047,0.1804,20,556,2672,10,20,53730,1,1,0,1,1
18400,18409,5504,177,4,103,17,681,20,2818,20,7186,0.1816,20,507,2670,9,18,54319,1,0,0,1,1
18600,18609,5563,181,4,103,13,683,20,2675,20,7233,0.1875,20,552,2695,7,14,54923,1,0,0,0,1
18800,18809,5640,184,3,104,15,676,20,2715,20,7291,0.1973,20,586,2771,10,20,55535,1,3,0,1,1
19000,19009,5697,188,5,100,15,673,20,2734,20,7280,0.1951,20,545,2693,9,18,56148,1,1,0,0,1
19200,19209,5744,190,4,102,14,674,20,2659,20,7379,0.1983,20,558,2756,10,20,56766,1,0,0,3,1
19400,19409,5805,192,4,104,18,671,20,2728,20,7416,0.2059,20,562,2735,12,24,57377,1,1,0,2,1
19600,19609,5864,197,3,103,14,678,20,2778,20,7480,0.197,20,561,2728,11,22,57984,1,0,0,2,1
19800,19809,5918,201,1,105,17,693,20,2769,20,7515,0.1748,20,573,2783,11,22,58595,1,1,0,1,1
20000,20009,5981,204,0,103,14,691,20,2785,20,7560,0.1721,20,604,2736,11,22,59210,1,3,0,0,1
20200,20209,6036,208,6,100,15,677,20,2798,20,7715,0.17,20,524,2759,10,20,59808,1,0,0,0,1
20400,20409,6097,210,4,101,14,659,20,2780,20,7733,0.1682,20,559,2752,8,16,60416,1,0,0,1,1
20600,20609,6154,213,1,104,15,682,20,2755,20,7803,0.1818,20,588,2808,7,14,61027,1,0,0,0,1
20800,20809,6214,217,2,102,15,692,20,2765,20,7841,0.1927,20,572,2786,11,22,61638,1,1,0,3,1
21000,21009,6280,220,6,100,11,686,20,2853,20,7892,0.1771,20,600,2743,11,22,62255,1,1,0,1,1
21200,21209,6339,224,3,102,19,686,20,2866,20,7965,0.1739,20,592,2830,11,22,62858,1,0,0,1,1
21400,21409,6397,226,4,104,15,682,20,2807,20,8040,0.1877,20,630,2857,12,24,63477,1,2,0,1,1
21600,21609,6456,229,4,101,15,687,20,2842,20,8122,0.1774,20,572,2819,11,22,64088,1,1,0,0,1
21800,21809,6518,232,3,105,14,686,20,2798,20,8124,0.1592,20,555,2832,11,22,64702,1,0,0,2,1
22000,22009,6574,234,3,103,14,690,20,2806,20,8235,0.1596,20,632,2841,12,24,65316,1,2,0,1,1
22200,22209,6639,238,5,106,16,685,20,2804,20,8332,0.1699,20,555,2850,16,32,65934,1,3,0,4,1
22400,22409,6686,241,2,99,17,685,20,2879,20,8320,0.2032,20,540,2816,17,34,66564,1,0,0,2,1
22600,22609,6756,244,3,102,15,685,20,2839,20,8429,0.2048,20,635,2897,19,38,67183,1,0,0,4,1
22800,22809,6817,246,4,98,14,693,20,2908,20,8439,0.2011,20,629,2935,17,34,67810,1,0,0,1,1
23000,23009,6880,251,2,102,17,690,20,2956,20,8499,0.1881,20,681,2888,14,28,68432,1,1,0,1,1
23200,23209,6936,253,4,105,18,707,20,2929,20,8532,0.1928,20,620,2865,13,26,69054,1,2,0,1,1
23400,23409,6985,256,4,101,15,683,20,2900,20,8676,0.1765,20,623,2902,15,30,69671,1,1,0,4,1
23600,23609,7045,261,4,100,16,710,20,2886,20,8784,0.1934,20,650,2988,11,22,70279,1,0,0,0,1
23800,23809,7109,265,2,105,13,686,20,2930,20,8750,0.202,20,555,2880,12,24,70877,1,1,0,3,1
24000,24009,7163,269,3,101,14,701,20,2944,20,8964,0.1939,20,609,2954,15,30,71465,1,1,0,3,1
24200,24209,7239,273,2,106,17,695,20,2995,20,9047,0.2023,20,639,3036,14,28,72075,1,0,0,1,1
24400,24409,7290,277,2,105,15,688,20,2935,20,9143,0.1941,20,645,3028,14,28,72694,1,2,0,0,1
24600,24609,7353,280,4,104,13,706,20,2998,20,9181,0.2226,20,602,3018,13,26,73296,1,1,0,2,1
24800,24809,7414,285,5,101,13,715,20,2986,20,9228,0.2253,20,622,3030,10,20,73914,1,0,0,0,1
25000,25009,7471,288,4,107,14,707,20,2953,20,9281,0.2425,20,601,3029,7,14,74519,1,0,0,0,1
25200,25209,7529,292,9,103,17,686,20,2994,20,9368,0.2262,20,633,3004,8,16,75123,1,0,0,2,1
25400,25409,7594,297,3,100,15,692,20,2943,20,9373,0.2383,20,593,2971,9,18,75724,1,1,0,1,1
25600,25609,7656,300,1,104,16,711,20,3052,20,9420,0.2229,20,550,3056,9,18,76334,1,0,0,0,1
25800,25809,7715,302,2,102,17,707,20,3051,20,9454,0.2205,20,608,3003,9,18,76944,1,0,0,2,1
26000,26009,7787,305,5,104,15,710,20,2993,20,9485,0.1987,20,635,3081,9,18,77554,1,1,0,1,1
26200,26209,7847,308,8,104,17,708,20,3038,20,9557,0.1962,20,603,3073,6,12,78156,1,0,0,1,1
26400,26409,7902,312,2,101,15,710,20,3041,20,9593,0.1642,20,683,3074,7,14,78761,1,2,0,0,1
26600,26609,7963,316,5,105,15,720,20,3040,20,9643,0.1686,20,634,3041,9,18,79364,1,1,0,2,1
26800,26809,8020,318,4,105,17,702,20,3151,20,9716,0.1622,20,644,3110,10,20,79978,1,1,0,1,1
27000,27009,8081,320,3,101,16,702,20,3035,20,9838,0.142,20,653,3160,11,22,80588,1,0,0,3,1
27200,27209,8140,322,3,103,17,702,20,3132,20,9919,0.1508,20,638,3107,16,32,81208,1,1,0,4,1
27400,27409,8202,325,1,106,13,702,20,3055,20,9934,0.1779,20,675,3113,15,30,81831,1,0,0,1,1
27600,27609,8258,330,5,103,17,715,20,3074,20,10041,0.1946,20,658,3117,12,24,82440,1,0,0,0,1
27800,27809,8311,334,5,104,15,715,20,3140,20,10125,0.2029,20,712,3128,10,20,83054,1,0,0,1,1
28000,28009,8369,339,3,104,15,681,20,3154,20,10151,0.2146,20,621,3124,9,18,83650,1,0,0,1,1
28200,28209,8428,341,4,103,10,708,20,3109,20,10209,0.1989,20,690,3150,9,18,84259,1,0,0,1,1
28400,28409,8489,347,6,105,20,716,20,3147,20,10298,0.1914,20,608,3160,6,12,84863,1,0,0,2,1
