step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
10200,10209,3113,-1,0,100,0,563,0,1887,0,4065,0,20,378,1861,0,0,29687,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10400,10409,3164,-1,0,99,0,592,0,1871,0,4123,0,20,385,1897,0,0,30280,0,1,1,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10600,10609,3232,-1,0,98,0,582,0,1910,0,4237,0,20,388,1917,0,0,30860,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10800,10809,3301,-1,0,99,0,583,0,1939,0,4269,0,20,394,1934,0,0,31452,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11000,11009,3352,-1,0,99,0,582,0,1950,0,4369,0,20,367,1965,0,0,32040,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11200,11209,3405,-1,0,99,0,593,0,1948,0,4468,0,20,380,1990,0,0,32621,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11400,11409,3465,-1,0,101,0,609,0,2095,0,4654,0,20,426,2129,0,0,33170,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11600,11609,3533,-1,0,102,0,606,0,2075,0,4710,0,20,409,2081,0,0,33759,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11800,11809,3585,-1,0,98,0,598,0,2135,0,4805,0,20,454,2107,0,0,34352,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12000,12009,3645,-1,0,102,0,613,0,2105,0,4871,0,20,407,2136,0,0,34939,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12200,12209,3705,-1,0,98,0,604,0,2088,0,4935,0,20,431,2092,0,0,35529,0,3,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12400,12409,3765,-1,0,101,0,598,0,2129,0,5029,0,20,422,2082,0,0,36113,0,1,1,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12600,12609,3814,-1,0,104,0,605,0,2131,0,5102,0,20,456,2130,0,0,36703,0,4,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12800,12809,3875,-1,0,100,0,620,0,2225,0,5201,0,20,461,2215,0,0,37279,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
