step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
10400,10409,3124,-1,0,97,0,602,0,2034,0,4385,0,20,399,2060,10,20,30581,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10600,10609,3169,-1,0,100,0,606,0,2108,0,4466,0,20,435,2073,12,24,31198,0,1,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10800,10809,3227,-1,0,98,0,617,0,2077,0,4513,0,20,387,2070,15,30,31823,0,0,2,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11000,11009,3291,-1,0,100,0,600,0,2105,0,4556,0,20,449,2106,13,26,32434,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11200,11209,3347,-1,0,101,0,591,0,2102,0,4665,0,20,412,2077,11,22,33041,0,2,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11400,11409,3411,-1,0,101,0,600,0,2113,0,4716,0,20,415,2105,7,14,33646,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11600,11609,3464,-1,0,101,0,602,0,2066,0,4789,0,20,460,2142,6,12,34245,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11800,11809,3521,-1,0,101,0,625,0,2140,0,4814,0,20,420,2143,5,10,34839,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12000,12009,3580,-1,0,100,0,586,0,2151,0,4844,0,20,448,2148,5,10,35437,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12200,12209,3645,-1,0,99,0,614,0,2171,0,4908,0,20,433,2119,5,10,36036,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12400,12409,3705,-1,0,100,0,602,0,2179,0,4980,0,20,454,2163,6,12,36639,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12600,12609,3763,-1,0,103,0,621,0,2162,0,5027,0,20,447,2196,4,8,37238,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12800,12809,3815,-1,0,100,0,608,0,2171,0,5150,0,20,448,2201,3,6,37840,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13000,13009,3871,-1,0,99,0,616,0,2182,0,5170,0,20,490,2209,2,4,38430,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13200,13209,3930,-1,0,99,0,607,0,2183,0,5251,0,20,427,2217,3,6,39020,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13400,13409,3988,-1,0,102,0,641,0,2212,0,5329,0,20,468,2208,3,6,39613,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13600,13609,4053,-1,0,99,0,630,0,2274,0,5414,0,20,443,2265,1,2,40202,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13800,13809,4118,-1,0,104,0,649,0,2244,0,5492,0,20,504,2318,2,4,40778,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14000,14009,4188,-1,0,98,0,630,0,2236,0,5649,0,20,509,2280,3,6,41359,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14200,14209,4252,-1,0,103,0,620,0,2296,0,5664,0,20,459,2324,5,10,41961,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14400,14321,4311,-1,0,100,0,643,0,2340,0,5733,0,20,457,2340,7,14,42301,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14600,14391,4381,-1,0,101,0,629,0,2346,0,5728,0,20,464,2364,8,16,42518,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14800,14449,4439,-1,0,103,0,637,0,2333,0,5720,0,20,473,2393,8,16,42700,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15000,14515,4505,-1,0,99,0,648,0,2419,0,5836,0,20,515,2447,9,18,42836,0,0,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15200,14576,4566,3,0,105,1,658,2,2379,13,5887,0,20,478,2423,11,22,43027,0,1,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15400,14635,4625,3,0,103,0,662,4,2405,10,5872,0,20,469,2409,13,26,43224,0,1,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15600,14695,4685,3,0,103,1,652,2,2445,9,5895,0,20,488,2419,12,24,43422,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15800,14745,4735,3,0,102,0,638,2,2460,9,5881,0,20,536,2453,10,20,43582,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16000,14806,4796,3,0,107,2,650,3,2449,14,5880,0,20,476,2478,11,22,43773,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16200,14864,4854,3,1,99,1,656,1,2500,11,5912,0,20,500,2466,12,24,43958,0,1,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16400,14932,4922,3,0,104,1,652,5,2450,12,5886,0.0138,20,526,2462,12,24,44174,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16600,14995,4985,3,0,102,0,657,3,2485,11,5898,0.0108,20,476,2475,10,20,44372,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16800,15061,5051,3,0,105,0,682,5,2452,14,5920,0.0984,20,502,2464,8,16,44566,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17000,15124,5114,5,0,102,0,669,2,2494,13,5911,0.1216,20,565,2539,10,20,44747,1,2,0,1,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17200,15184,5174,7,0,104,1,681,7,2445,16,5925,0.1155,20,486,2446,9,18,44930,1,0,0,2,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17400,15236,5226,9,0,104,1,666,9,2484,17,5877,0.133,20,515,2469,9,18,45094,1,0,0,1,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17600,15293,5283,11,0,104,1,668,11,2475,16,5904,0.1241,20,556,2484,6,12,45267,1,1,0,0,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17800,15344,5334,13,1,106,2,658,8,2450,18,5822,0.118,20,471,2473,6,12,45417,1,0,0,1,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
18000,15413,5403,15,0,108,3,660,11,2499,19,5872,0.1342,20,503,2471,9,18,45634,1,1,1,1,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
18200,15476,5466,17,1,104,5,677,9,2431,18,5867,0.1291,20,500,2427,6,12,45817,1,0,0,0,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
18400,15523,5513,19,0,103,3,658,11,2427,18,5801,0.121,20,493,2463,6,12,45963,1,0,0,0,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
18600,15575,5565,21,1,105,3,664,13,2520,20,5848,0.104,20,518,2553,6,12,46102,1,0,0,1,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
18800,15640,5630,23,1,105,4,676,12,2520,20,5865,0.0896,20,480,2470,5,10,46289,1,0,0,0,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
19000,15698,5688,25,1,104,2,662,10,2520,20,5851,0.0774,20,490,2477,3,6,46463,1,1,0,0,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
19200,15752,5742,27,0,105,4,674,12,2476,20,5854,0.0596,20,504,2498,6,12,46629,1,2,0,1,1,3,0,0,-1,0,0,-1,0,0,-1,0,0
19400,15816,5806,29,0,104,5,684,15,2494,20,5822,0.0454,20,507,2477,6,12,46815,1,0,0,0,1,3,2,0,-1,0,0,-1,0,0,-1,0,0
19600,15888,5878,31,2,104,4,666,12,2499,20,5856,0.034,20,479,2484,6,12,47030,1,0,0,0,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
19800,15948,5938,33,1,106,6,686,11,2524,20,5863,0.0249,20,489,2484,7,14,47206,1,0,0,1,1,3,5,0,-1,0,0,-1,0,0,-1,0,0
20000,16002,5992,33,0,106,4,681,16,2457,20,5816,0,20,519,2494,8,16,47374,0,0,0,2,1,3,2,0,-1,0,0,-1,0,0,-1,0,0
20200,16058,6048,33,1,105,8,685,17,2506,18,5836,0,20,517,2511,7,14,47544,0,0,0,0,1,3,3,0,-1,0,0,-1,0,0,-1,0,0
20400,16112,6102,33,0,105,4,681,13,2486,20,5838,0,20,517,2517,6,12,47706,0,0,0,0,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
20600,16179,6169,33,2,104,6,686,15,2548,19,5815,0,20,479,2479,3,6,47897,0,0,0,0,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
20800,16243,6233,33,1,106,5,677,14,2535,19,5865,0,20,530,2519,1,2,48065,0,0,0,0,1,3,0,0,-1,0,0,-1,0,0,-1,0,0
21000,16310,6300,33,0,106,3,691,14,2569,18,5876,0,20,546,2597,1,2,48256,0,0,0,0,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
21200,16360,6350,33,0,106,2,690,12,2540,20,5856,0,20,498,2549,0,0,48395,0,0,0,0,1,3,1,0,3,2,0,-1,0,0,-1,0,0
21400,16419,6409,33,1,101,5,661,13,2524,20,5850,0,20,491,2539,1,2,48565,0,1,0,0,1,3,1,0,3,3,0,-1,0,0,-1,0,0
21600,16481,6471,33,0,104,5,684,15,2538,20,5844,0,20,553,2495,2,4,48737,0,0,0,1,1,3,1,0,3,2,0,-1,0,0,-1,0,0
21800,16547,6537,33,0,109,7,686,17,2516,20,5843,0,20,540,2495,2,4,48923,0,0,0,0,1,3,1,0,3,4,0,-1,0,0,-1,0,0
22000,16609,6599,33,2,106,8,694,15,2524,19,5841,0,20,574,2562,1,2,49095,0,0,0,0,1,3,2,0,3,3,0,-1,0,0,-1,0,0
22200,16673,6663,33,2,106,9,679,13,2541,20,5786,0,20,521,2548,1,2,49280,0,1,0,0,1,3,1,0,3,4,0,-1,0,0,-1,0,0
22400,16738,6728,33,5,105,3,698,16,2481,19,5770,0,20,541,2549,1,2,49463,0,0,0,0,1,3,0,0,3,7,0,-1,0,0,-1,0,0
22600,16801,6791,33,1,107,1,678,12,2520,19,5770,0,20,579,2545,1,2,49640,0,0,0,0,1,3,2,0,3,3,0,-1,0,0,-1,0,0
22800,16855,6845,33,0,107,2,700,15,2481,20,5745,0,20,526,2504,1,2,49796,0,0,0,0,1,3,1,0,3,1,0,-1,0,0,-1,0,0
23000,16922,6912,33,0,103,5,670,11,2508,20,5756,0,20,524,2525,1,2,49978,0,0,0,0,1,3,1,0,3,2,0,-1,0,0,-1,0,0
23200,16982,6972,33,1,104,4,692,12,2522,19,5759,0,20,533,2539,1,2,50139,0,0,0,1,1,3,0,0,3,3,0,-1,0,0,-1,0,0
